[ 2.80000000e+00  2.36842105e-02 -1.46898346e-05]
[ 2.1000000e+00 -2.0000000e-02 -1.2481203e-03]
[2.70000000e+00 2.30769231e-02 1.65680473e-03]
[ 2.60000000e+00 -3.44827586e-03 -9.14662032e-04]
[2.80000000e+00 6.89655172e-03 3.56718193e-04]
[ 2.90000000e+00  2.94117647e-03 -1.16334566e-04]
[ 2.60000000e+00 -1.30434783e-02 -6.94984988e-04]
[2.90000000e+00 9.67741935e-03 7.32932181e-04]
[ 2.60000000e+00 -1.15384615e-02 -8.15995419e-04]
[4.00000000e+00 5.83333333e-02 2.91132479e-03]
[ 4.10000000e+00  3.44827586e-03 -1.89258819e-03]
[ 3.10000000e+00 -3.44827586e-02 -1.30796671e-03]
[ 2.50000000e+00 -2.22222222e-02  4.54093941e-04]
[2.50000000e+00 0.00000000e+00 6.53594771e-04]
[ 2.40000000e+00 -3.33333333e-03 -1.11111111e-04]
[ 1.90000000e+00 -1.56250000e-02 -3.84114583e-04]
[2.50000000e+00 1.93548387e-02 1.12838189e-03]
[ 2.10000000e+00 -1.48148148e-02 -1.26554272e-03]
[2.50000000e+00 1.14285714e-02 7.49811036e-04]
[ 2.70000000e+00  5.88235294e-03 -1.63124073e-04]
[3.50000000e+00 1.42857143e-02 1.50060024e-04]
[ 3.20000000e+00 -6.25000000e-03 -4.27827381e-04]
[ 2.60000000e+00 -1.39534884e-02 -1.79150892e-04]
[3.10000000e+00 1.66666667e-02 1.02067183e-03]
[ 2.80000000e+00 -7.50000000e-03 -6.04166667e-04]
[2.80000000e+00 0.00000000e+00 2.77777778e-04]
[ 2.40000000e+00 -1.42857143e-02 -5.10204082e-04]
[ 2.20000000e+00 -6.45161290e-03  2.52712948e-04]
[2.50000000e+00 1.20000000e-02 7.38064516e-04]
[ 2.0000000e+00 -1.5625000e-02 -8.6328125e-04]
[ 1.80000000e+00 -6.45161290e-03  2.95915713e-04]
[2.30000000e+00 1.66666667e-02 7.70609319e-04]
[ 2.20000000e+00 -3.84615385e-03 -7.88954635e-04]
[3.20000000e+00 3.12500000e-02 1.09675481e-03]
[ 2.         -0.04137931 -0.00250446]
[2.60000000e+00 2.30769231e-02 2.47908590e-03]
[ 3.10000000e+00  1.56250000e-02 -2.32872596e-04]
[ 1.90000000e+00 -3.87096774e-02 -1.75273153e-03]
[2.2        0.01363636 0.00237937]
[ 2.20000000e+00  0.00000000e+00 -3.40909091e-04]
[ 2.10000000e+00 -3.03030303e-03 -9.18273646e-05]
[2.50000000e+00 1.60000000e-02 7.61212121e-04]
[855.78   0.     0.  ]
[ 7.58940000e+02 -2.15200000e+00 -4.78222222e-02]
[ 5.37810000e+02 -7.89750000e+00 -2.05196429e-01]
[6.19920000e+02 3.91000000e+00 5.62261905e-01]
[7.90650000e+02 1.21950000e+01 5.91785714e-01]
[688.17        -4.88        -0.81309524]
[7.30800000e+02 2.03000000e+00 3.29047619e-01]
[528.36        -9.64        -0.55571429]
[ 4.31730000e+02 -4.60142857e+00  2.39931973e-01]
[ 3.11850000e+02 -7.99200000e+00 -2.26038095e-01]
[364.98     5.313    1.3305]
[287.28        -6.475       -0.98233333]
[211.47  -25.27   -6.265]
[241.92         1.69166667   1.49787037]
[32.141      -3.439      -0.08410929]
[ 1.19000000e+00 -3.43900000e+00  4.93432455e-17]
[ 0.54       -0.02241379  0.11781332]
[0.61       0.0021875  0.00076879]
[9.96534653e-01 6.33663366e-03 6.80185846e-05]
[1.25000000e+00 6.33663366e-03 3.58567342e-16]
[1.40000000e+00 1.36363636e-02 6.63611816e-04]
[ 1.34833333e+00 -8.33333333e-04 -2.33382209e-04]
[ 1.33000000e+00 -8.33333333e-04  9.33078681e-15]
